txn_id,customer_id,account_type,txn_type,amount,balance,txn_date,branch
1,CUST1103,Current,Withdrawal,39847.5,58599.26,2023-03-13,Pune
2,CUST1189,Current,Transfer,29882.82,74743.18,2023-08-03,Chennai
3,CUST1331,Savings,Transfer,23016.52,56720.53,2023-12-26,Mumbai
4,CUST1152,Loan,Withdrawal,32579.33,38692.28,2023-12-10,Pune
5,CUST1492,Savings,Transfer,46933.78,47511.27,2023-10-04,Bangalore
6,CUST1161,Loan,Transfer,15281.69,67994.95,2023-08-24,Bangalore
7,CUST1345,Savings,Deposit,14632.33,76011.69,2023-06-19,Bangalore
8,CUST1476,Current,Deposit,48690.4,72351.15,2023-06-24,Chennai
9,CUST1446,Current,Withdrawal,10063.72,61730.05,2023-11-16,Pune
10,CUST1131,Loan,Transfer,43011.03,111201.63,2023-11-25,Chennai
11,CUST1167,Loan,Transfer,761.92,95010.99,2023-01-14,Chennai
12,CUST1242,Loan,Transfer,19332.28,21420.92,2023-12-06,Bangalore
13,CUST1092,Savings,Deposit,22063.61,34706.41,2023-09-21,Bangalore
14,CUST1431,Loan,Withdrawal,8750.9,48161.43,2023-02-19,Delhi
15,CUST1360,Current,Deposit,37792.53,80595.54,2023-02-23,Pune
16,CUST1106,Loan,Withdrawal,28428.25,32043.92,2023-08-06,Mumbai
17,CUST1044,Savings,Deposit,46981.0,136516.32,2023-09-27,Delhi
18,CUST1351,Savings,Withdrawal,46101.52,55406.52,2023-08-03,Chennai
19,CUST1252,Current,Withdrawal,2356.84,35227.21,2023-07-27,Chennai
20,CUST1237,Current,Deposit,13640.32,96599.7,2023-08-05,Bangalore
21,CUST1252,Current,Transfer,30391.01,58352.93,2023-06-06,Bangalore
22,CUST1015,Savings,Transfer,8346.82,10402.64,2023-01-09,Delhi
23,CUST1344,Loan,Withdrawal,19804.59,49506.66,2023-03-04,Bangalore
24,CUST1139,Current,Withdrawal,10022.24,81300.76,2023-10-16,Pune
25,CUST1379,Savings,Withdrawal,3794.83,39962.17,2023-02-10,Mumbai
26,CUST1028,Loan,Withdrawal,43168.86,105687.02,2023-02-02,Pune
27,CUST1048,Current,Deposit,18603.83,85653.53,2023-10-20,Pune
28,CUST1099,Loan,Transfer,29605.76,57440.58,2023-02-04,Delhi
29,CUST1449,Savings,Transfer,19208.05,116393.4,2023-05-11,Mumbai
30,CUST1257,Loan,Transfer,36114.3,60094.8,2023-12-25,Bangalore
31,CUST1283,Current,Transfer,26184.37,69224.7,2023-02-11,Pune
32,CUST1380,Current,Transfer,5483.78,9110.98,2023-08-19,Pune
33,CUST1241,Savings,Deposit,15786.36,66889.14,2023-08-10,Chennai
34,CUST1485,Loan,Deposit,12539.68,53872.78,2023-06-20,Delhi
35,CUST1029,Savings,Transfer,11517.03,19676.53,2023-07-06,Delhi
36,CUST1243,Loan,Transfer,8144.94,101149.86,2023-02-14,Pune
37,CUST1062,Savings,Deposit,31706.85,118917.18,2023-01-28,Mumbai
38,CUST1108,Loan,Withdrawal,9409.85,98719.47,2023-11-27,Chennai
39,CUST1128,Loan,Withdrawal,40391.26,130052.34,2023-08-19,Mumbai
40,CUST1190,Current,Withdrawal,5591.59,28771.14,2023-05-01,Pune
41,CUST1116,Current,Transfer,17693.19,48518.93,2023-07-17,Delhi
42,CUST1456,Loan,Withdrawal,26751.06,75491.64,2023-08-13,Delhi
43,CUST1307,Savings,Transfer,13543.68,38334.17,2023-11-11,Chennai
44,CUST1374,Savings,Transfer,11016.33,67047.48,2023-06-29,Chennai
45,CUST1113,Current,Withdrawal,3338.12,29102.7,2023-09-25,Chennai
46,CUST1295,Savings,Deposit,24912.7,55350.09,2023-04-23,Delhi
47,CUST1440,Current,Withdrawal,1940.66,63092.31,2023-05-10,Bangalore
48,CUST1220,Loan,Transfer,2668.79,30894.11,2023-08-13,Delhi
49,CUST1385,Savings,Withdrawal,12054.14,26971.18,2023-06-21,Bangalore
50,CUST1218,Current,Withdrawal,49283.96,73868.46,2023-11-20,Bangalore
51,CUST1439,Savings,Transfer,38104.82,62249.76,2023-09-12,Delhi
52,CUST1294,Savings,Transfer,18452.38,81866.81,2023-07-17,Delhi
53,CUST1470,Current,Deposit,26835.16,36318.99,2023-04-07,Mumbai
54,CUST1201,Loan,Withdrawal,16106.93,35165.52,2023-12-15,Mumbai
55,CUST1259,Loan,Transfer,29585.56,97503.21,2023-12-12,Pune
56,CUST1451,Current,Withdrawal,40494.1,75686.37,2023-07-18,Bangalore
57,CUST1308,Loan,Withdrawal,47032.11,87090.53,2023-02-08,Pune
58,CUST1338,Loan,Withdrawal,41901.73,109632.9,2023-05-31,Mumbai
59,CUST1415,Loan,Withdrawal,43879.23,70044.42,2023-09-09,Bangalore
60,CUST1144,Savings,Withdrawal,40879.39,96621.87,2023-03-01,Mumbai
61,CUST1369,Loan,Deposit,12168.43,21932.16,2023-05-20,Chennai
62,CUST1453,Savings,Deposit,45030.86,108524.45,2023-01-09,Chennai
63,CUST1233,Loan,Transfer,17525.56,90258.15,2023-05-11,Pune
64,CUST1404,Savings,Deposit,44365.61,122463.23,2023-04-26,Pune
65,CUST1075,Loan,Deposit,46788.19,125429.58,2023-04-14,Pune
66,CUST1340,Loan,Withdrawal,29076.26,66618.4,2023-04-09,Mumbai
67,CUST1153,Current,Withdrawal,352.57,16852.97,2023-12-04,Mumbai
68,CUST1194,Loan,Deposit,34625.57,99995.72,2023-06-18,Bangalore
69,CUST1484,Loan,Transfer,35637.74,59744.02,2023-10-04,Pune
70,CUST1304,Loan,Transfer,37349.92,102488.39,2023-05-15,Delhi
71,CUST1195,Savings,Deposit,32914.88,89961.59,2023-01-22,Bangalore
72,CUST1238,Savings,Withdrawal,29534.56,127434.4,2023-02-20,Chennai
73,CUST1438,Loan,Withdrawal,45314.33,89036.57,2023-10-04,Bangalore
74,CUST1286,Savings,Transfer,32290.66,99348.6,2023-11-13,Mumbai
75,CUST1304,Loan,Deposit,14110.54,17029.98,2023-02-18,Delhi
76,CUST1017,Savings,Transfer,49728.07,96987.55,2023-02-15,Delhi
77,CUST1373,Current,Deposit,44186.35,119084.37,2023-02-06,Mumbai
78,CUST1280,Savings,Deposit,16604.44,72104.55,2023-04-05,Mumbai
79,CUST1099,Current,Withdrawal,49018.55,57015.5,2023-09-10,Delhi
80,CUST1469,Current,Withdrawal,9626.46,36839.71,2023-11-19,Delhi
81,CUST1128,Savings,Transfer,18697.07,58468.87,2023-02-23,Bangalore
82,CUST1058,Savings,Transfer,46507.84,54014.25,2023-04-24,Mumbai
83,CUST1288,Current,Deposit,33590.06,69775.41,2023-05-07,Chennai
84,CUST1155,Savings,Transfer,14835.0,47428.8,2023-04-14,Mumbai
85,CUST1417,Current,Withdrawal,6917.4,77954.04,2023-02-08,Chennai
86,CUST1477,Savings,Deposit,14895.86,57164.06,2023-11-02,Bangalore
87,CUST1409,Loan,Deposit,30614.53,39233.15,2023-11-09,Chennai
